"competitor_name_unique","company_name_unique","rank","weight","company_uuid","company_founded_on","company_acquired_on","company_closed_on","competitor_uuid","competitor_founded_on","competitor_acquired_on","competitor_closed_on"
"dsl-radio","wour-fm",8,1,"defb529b-9aa4-45ca-a4b2-8b32756ee65b","1969-01-01","2018-02-15",NA,"684c8f8d-be14-48ef-bd15-468bacc1eeac",NA,NA,NA
"duedil","insideview",3,1,"76bf5088-b164-58df-5214-6dcf154efc1f","2005-01-01",NA,NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","pitchbook-data",7,1,"49450071-22ed-170e-b470-cef1c93aa463","2007-01-01","2016-10-14",NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","tlo",2,1,"cbfe41bf-ac06-528e-5e58-bccd0f1e1b8a","2009-01-01",NA,NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","zoominfo",8,1,"6861db1b-f498-4936-701b-9aa4bc65809e","2000-02-01","2017-08-14",NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","cb-insights",8,1,"9ac9678f-78a6-fe42-31be-ca6a62629a27","2008-01-01",NA,NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","datafox",8,1,"8a224aad-06f0-86f0-019e-25843324e62d","2013-02-01",NA,NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"duedil","owler",6,1,"6ee90eaf-6f29-8395-c6af-1bf3cc41d0a3","2011-05-01",NA,NA,"2cc8c396-eeb9-9cc3-be04-22c86c19335d","2011-04-25",NA,NA
"dun-and-bradstreet-corporation","privco",3,1,"6190178f-f0b0-a112-de25-693f9fc425cd","2011-01-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","insideview",4,1,"76bf5088-b164-58df-5214-6dcf154efc1f","2005-01-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","owler",3,1,"6ee90eaf-6f29-8395-c6af-1bf3cc41d0a3","2011-05-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","zoominfo",6,1,"6861db1b-f498-4936-701b-9aa4bc65809e","2000-02-01","2017-08-14",NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","pitchbook-data",5,1,"49450071-22ed-170e-b470-cef1c93aa463","2007-01-01","2016-10-14",NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","tracxn",7,1,"6034d40c-1d85-7bae-7f20-0b9fa7c12adb","2013-06-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","tlo",7,1,"cbfe41bf-ac06-528e-5e58-bccd0f1e1b8a","2009-01-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
"dun-and-bradstreet-corporation","cb-insights",7,1,"9ac9678f-78a6-fe42-31be-ca6a62629a27","2008-01-01",NA,NA,"d65a30ea-dff5-aac3-385c-0348dfa35e5c","1841-01-01","2015-06-12",NA
